name_function,number,time_in_seconds
fibonacci,0,3.525055944919586e-06
fibonacci,1,3.5919947549700737e-06
fibonacci,2,1.3032928109169006e-05
fibonacci,3,2.2694002836942673e-05
fibonacci,4,3.993196878582239e-05
fibonacci,5,6.455695256590843e-05
fibonacci,6,0.00011177209671586752
fibonacci,7,0.00018596893642097712
fibonacci,8,0.0003039439907297492
fibonacci,9,0.0004896289901807904
fibonacci,10,0.0007963420357555151
fibonacci,11,0.0012925999471917748
fibonacci,12,0.0020732349948957562
fibonacci,13,0.00340832001529634
fibonacci,14,0.00549125496763736
fibonacci,15,0.008957080077379942
fibonacci,16,0.014615137944929302
fibonacci,17,0.02371047204360366
fibonacci,18,0.03840918594505638
fibonacci,19,0.06209940300323069
fibonacci_cached,0,5.427049472928047e-06
fibonacci_cached,1,5.388050340116024e-06
fibonacci_cached,2,5.264999344944954e-06
fibonacci_cached,3,5.368958227336407e-06
fibonacci_cached,4,5.387002602219582e-06
fibonacci_cached,5,5.346955731511116e-06
fibonacci_cached,6,5.4049305617809296e-06
fibonacci_cached,7,5.385023541748524e-06
fibonacci_cached,8,5.317968316376209e-06
fibonacci_cached,9,5.368958227336407e-06
fibonacci_cached,10,5.389912985265255e-06
fibonacci_cached,11,5.384092219173908e-06
fibonacci_cached,12,5.356967449188232e-06
fibonacci_cached,13,5.437992513179779e-06
fibonacci_cached,14,5.415990017354488e-06
fibonacci_cached,15,5.344976671040058e-06
fibonacci_cached,16,5.368026904761791e-06
fibonacci_cached,17,5.3480034694075584e-06
fibonacci_cached,18,5.39806205779314e-06
fibonacci_cached,19,5.3889816626906395e-06
fibonacci_redis,0,0.00807843403890729
fibonacci_redis,1,0.007438001106493175
fibonacci_redis,2,0.008553448948077857
fibonacci_redis,3,0.008284838986583054
fibonacci_redis,4,0.011711316998116672
fibonacci_redis,5,0.0074162790551781654
fibonacci_redis,6,0.007814742042683065
fibonacci_redis,7,0.007273309049196541
fibonacci_redis,8,0.007339608040638268
fibonacci_redis,9,0.0073022120632231236
fibonacci_redis,10,0.007215766003355384
fibonacci_redis,11,0.007867880980484188
fibonacci_redis,12,0.00736890803091228
fibonacci_redis,13,0.00744044198654592
fibonacci_redis,14,0.007741231005638838
fibonacci_redis,15,0.008392321993596852
fibonacci_redis,16,0.007768364041112363
fibonacci_redis,17,0.007328681997023523
fibonacci_redis,18,0.008079744060523808
fibonacci_redis,19,0.0076843430288136005
